componet,clicks,time,date,user
Component1,1,12:13:09 AM,9/3/2024,AYO
Component1,2,12:13:10 AM,9/3/2024,AYO
Component1,3,12:13:10 AM,9/3/2024,AYO
Component1,4,12:13:10 AM,9/3/2024,AYO
Component1,5,12:13:10 AM,9/3/2024,AYO
Component1,6,12:13:10 AM,9/3/2024,AYO
Component1,7,12:13:10 AM,9/3/2024,AYO
Component1,8,12:13:11 AM,9/3/2024,AYO
Component1,9,12:13:11 AM,9/3/2024,AYO
Component1,10,12:13:11 AM,9/3/2024,AYO
Component1,11,12:13:11 AM,9/3/2024,AYO
Component3,1,12:13:12 AM,9/3/2024,AYO
Component3,2,12:13:12 AM,9/3/2024,AYO
Component3,3,12:13:12 AM,9/3/2024,AYO
Component3,4,12:13:12 AM,9/3/2024,AYO
Component3,5,12:13:12 AM,9/3/2024,AYO
Component1,12,12:14:30 AM,9/3/2024,AYO
Component1,13,12:14:30 AM,9/3/2024,AYO
Component1,14,12:14:31 AM,9/3/2024,AYO
Component1,15,12:14:31 AM,9/3/2024,AYO
,,,,H
,,,,AYO
,,,,AYO
,,,,AYO
Component1,1,12:22:51 AM,9/3/2024,AYO
Component1,2,12:22:51 AM,9/3/2024,AYO
Component1,3,12:22:51 AM,9/3/2024,AYO
Component1,4,12:22:51 AM,9/3/2024,AYO
Component1,5,12:22:52 AM,9/3/2024,AYO
Component1,6,12:22:52 AM,9/3/2024,AYO
,,,,AYO
Component4,1,12:28:55 AM,9/3/2024,AYO
Component5,1,12:29:00 AM,9/3/2024,AYO
,,,,YOSHI
MainContent,1,12:29:51 AM,9/3/2024,YOSHI
MainContent,2,12:29:51 AM,9/3/2024,YOSHI
MainContent,3,12:29:51 AM,9/3/2024,YOSHI
MainContent,4,12:29:52 AM,9/3/2024,YOSHI
MainContent,5,12:29:52 AM,9/3/2024,YOSHI
MainContent,6,12:29:52 AM,9/3/2024,YOSHI
MainContent,7,12:29:52 AM,9/3/2024,YOSHI
MainContent,8,12:29:52 AM,9/3/2024,YOSHI
MainContent,9,12:29:52 AM,9/3/2024,YOSHI
Component3,1,12:29:53 AM,9/3/2024,YOSHI
Component3,2,12:29:53 AM,9/3/2024,YOSHI
Component3,3,12:29:53 AM,9/3/2024,YOSHI
Component3,4,12:29:54 AM,9/3/2024,YOSHI
Component3,5,12:29:54 AM,9/3/2024,YOSHI
Component3,6,12:29:54 AM,9/3/2024,YOSHI
Component3,7,12:29:54 AM,9/3/2024,YOSHI
Component3,8,12:29:54 AM,9/3/2024,YOSHI
Component3,9,12:29:54 AM,9/3/2024,YOSHI
Component3,10,12:29:55 AM,9/3/2024,YOSHI
Component5,1,12:29:55 AM,9/3/2024,YOSHI
Component5,2,12:29:55 AM,9/3/2024,YOSHI
Component5,3,12:29:55 AM,9/3/2024,YOSHI
Component5,4,12:29:55 AM,9/3/2024,YOSHI
Component5,5,12:29:56 AM,9/3/2024,YOSHI
Component5,6,12:29:56 AM,9/3/2024,YOSHI
Component5,7,12:29:56 AM,9/3/2024,YOSHI
Component5,8,12:29:56 AM,9/3/2024,YOSHI
Footer,1,12:29:57 AM,9/3/2024,YOSHI
Footer,2,12:29:57 AM,9/3/2024,YOSHI
Footer,3,12:29:57 AM,9/3/2024,YOSHI
Footer,4,12:29:57 AM,9/3/2024,YOSHI
Footer,5,12:29:58 AM,9/3/2024,YOSHI
Footer,6,12:29:58 AM,9/3/2024,YOSHI
Footer,7,12:29:58 AM,9/3/2024,YOSHI
Component4,1,12:29:59 AM,9/3/2024,YOSHI
Component4,2,12:29:59 AM,9/3/2024,YOSHI
Component4,3,12:30:00 AM,9/3/2024,YOSHI
Component4,4,12:30:00 AM,9/3/2024,YOSHI
Component4,5,12:30:00 AM,9/3/2024,YOSHI
Component4,6,12:30:00 AM,9/3/2024,YOSHI
Component4,7,12:30:00 AM,9/3/2024,YOSHI
Component2,1,12:30:01 AM,9/3/2024,YOSHI
Component2,2,12:30:01 AM,9/3/2024,YOSHI
Component2,3,12:30:01 AM,9/3/2024,YOSHI
Component2,4,12:30:01 AM,9/3/2024,YOSHI
Component2,5,12:30:01 AM,9/3/2024,YOSHI
Component2,6,12:30:02 AM,9/3/2024,YOSHI
MainContent,10,12:30:05 AM,9/3/2024,YOSHI
MainContent,11,12:30:06 AM,9/3/2024,YOSHI
MainContent,12,12:30:06 AM,9/3/2024,YOSHI
MainContent,13,12:30:06 AM,9/3/2024,YOSHI
,,,,YOSHI
Header,1,12:31:52 AM,9/3/2024,YOSHI
Header,2,12:31:52 AM,9/3/2024,YOSHI
Header,3,12:31:52 AM,9/3/2024,YOSHI
Header,4,12:31:52 AM,9/3/2024,YOSHI
Header,5,12:31:52 AM,9/3/2024,YOSHI
Header,6,12:31:53 AM,9/3/2024,YOSHI
Header,7,12:31:53 AM,9/3/2024,YOSHI
Header,8,12:31:53 AM,9/3/2024,YOSHI
Header,9,12:31:53 AM,9/3/2024,YOSHI
Header,10,12:31:53 AM,9/3/2024,YOSHI
Header,11,12:31:53 AM,9/3/2024,YOSHI
Header,12,12:31:54 AM,9/3/2024,YOSHI
Header,13,12:31:54 AM,9/3/2024,YOSHI
